experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,p_value_holm,status,report_status
A1_supplementary,DASCMOP1_difficulty13,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-1.0,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,1.0,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,1.0,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.9354838709677419,reference_better,5.587935447692871e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-0.9292403746097815,comparison_better,5.587935447692871e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-0.9354838709677419,comparison_better,5.587935447692871e-09,usable,usable
A1_supplementary,DASCMOP1_difficulty13,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-0.39854318418314255,comparison_better,0.060623603872954845,usable,usable
A1_supplementary,DASCMOP1_difficulty13,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,2.7939677238464355e-09,usable,usable
